model_id,chain,parameter,chain_effective_sample_size
BVAR-SV-final-chain1,1,sv_mu__Bund2Y_change,3166.104883358022
BVAR-SV-final-chain1,1,sv_mu__CISS_change,1219.2917903847713
BVAR-SV-final-chain1,1,sv_mu__GreenEquity_relative,3654.5330403020503
BVAR-SV-final-chain1,1,sv_mu__GreenBond_relative,1647.5662913315052
BVAR-SV-final-chain1,1,sv_phi__EUA_ret,488.81617741937856
BVAR-SV-final-chain1,1,sv_phi__TTF_ret,753.6857525911557
BVAR-SV-final-chain1,1,sv_phi__Brent_ret,650.6321733755593
BVAR-SV-final-chain1,1,sv_phi__Power_ret,740.4655752952726
BVAR-SV-final-chain1,1,sv_phi__CPI_yoy_change,507.104328516935
BVAR-SV-final-chain1,1,sv_phi__IP_growth,1091.5249307845495
BVAR-SV-final-chain1,1,sv_phi__Bund2Y_change,1169.6847214247261
BVAR-SV-final-chain1,1,sv_phi__CISS_change,990.9038953930068
BVAR-SV-final-chain1,1,sv_phi__GreenEquity_relative,233.73474184554254
BVAR-SV-final-chain1,1,sv_phi__GreenBond_relative,1223.2486198855893
BVAR-SV-final-chain1,1,sv_sigma2__EUA_ret,374.8187559298485
BVAR-SV-final-chain1,1,sv_sigma2__TTF_ret,331.7851922894119
BVAR-SV-final-chain1,1,sv_sigma2__Brent_ret,528.3306206526995
BVAR-SV-final-chain1,1,sv_sigma2__Power_ret,403.94903088415236
BVAR-SV-final-chain1,1,sv_sigma2__CPI_yoy_change,339.96474444922734
BVAR-SV-final-chain1,1,sv_sigma2__IP_growth,591.3571870810185
BVAR-SV-final-chain1,1,sv_sigma2__Bund2Y_change,321.1611890320146
BVAR-SV-final-chain1,1,sv_sigma2__CISS_change,592.1676366109639
BVAR-SV-final-chain1,1,sv_sigma2__GreenEquity_relative,167.12003320465396
BVAR-SV-final-chain1,1,sv_sigma2__GreenBond_relative,457.2955128785136
BVAR-SV-final-chain1,1,cholesky_U_1,9999.99999999999
BVAR-SV-final-chain1,1,cholesky_U_2,9999.999999999969
BVAR-SV-final-chain1,1,cholesky_U_3,9574.745444907205
BVAR-SV-final-chain1,1,cholesky_U_4,10000.000000000016
BVAR-SV-final-chain1,1,cholesky_U_5,7160.910746770969
BVAR-SV-final-chain1,1,cholesky_U_6,10597.648873547527
BVAR-SV-final-chain1,1,cholesky_U_7,6092.098980029028
BVAR-SV-final-chain1,1,cholesky_U_8,2827.5075843232476
BVAR-SV-final-chain1,1,cholesky_U_9,963.7524780734034
BVAR-SV-final-chain1,1,cholesky_U_10,5867.310896986879
BVAR-SV-final-chain2,2,own_lag1__EUA_ret,4955.7192622158445
BVAR-SV-final-chain2,2,own_lag1__TTF_ret,3772.2650244195374
BVAR-SV-final-chain2,2,own_lag1__Brent_ret,3200.182343679546
BVAR-SV-final-chain2,2,own_lag1__Power_ret,1556.4136759658395
BVAR-SV-final-chain2,2,own_lag1__CPI_yoy_change,3333.3355273143734
BVAR-SV-final-chain2,2,own_lag1__IP_growth,2419.358785072659
BVAR-SV-final-chain2,2,own_lag1__Bund2Y_change,3294.7950052053643
BVAR-SV-final-chain2,2,own_lag1__CISS_change,2001.89150342595
BVAR-SV-final-chain2,2,own_lag1__GreenEquity_relative,3951.0728493847105
BVAR-SV-final-chain2,2,own_lag1__GreenBond_relative,4649.479111544925
BVAR-SV-final-chain2,2,lag1__EUA_ret__to__GreenEquity_relative,7319.928749603845
BVAR-SV-final-chain2,2,lag1__TTF_ret__to__GreenEquity_relative,5703.381424900219
BVAR-SV-final-chain2,2,lag1__Brent_ret__to__GreenEquity_relative,3626.5947901515633
BVAR-SV-final-chain2,2,lag1__Power_ret__to__GreenEquity_relative,2192.704732936191
BVAR-SV-final-chain2,2,lag1__CPI_yoy_change__to__GreenEquity_relative,2882.733546896567
BVAR-SV-final-chain2,2,lag1__IP_growth__to__GreenEquity_relative,7277.583482334884
BVAR-SV-final-chain2,2,lag1__Bund2Y_change__to__GreenEquity_relative,2852.1670063609895
BVAR-SV-final-chain2,2,lag1__CISS_change__to__GreenEquity_relative,1798.369627833839
BVAR-SV-final-chain2,2,intercept__GreenEquity_relative,3394.71648691238
BVAR-SV-final-chain2,2,lag1__EUA_ret__to__GreenBond_relative,1671.221988946852
BVAR-SV-final-chain2,2,lag1__TTF_ret__to__GreenBond_relative,429.9582711661599
BVAR-SV-final-chain2,2,lag1__Brent_ret__to__GreenBond_relative,5735.823510359016
BVAR-SV-final-chain2,2,lag1__Power_ret__to__GreenBond_relative,410.92632455214147
BVAR-SV-final-chain2,2,lag1__CPI_yoy_change__to__GreenBond_relative,2067.7081464328003
BVAR-SV-final-chain2,2,lag1__IP_growth__to__GreenBond_relative,2749.2519670421357
